causa_acidente,acidentes,mortos_total,feridos_total
FALTA DE ATENÇÃO À CONDUÇÃO,7123,305,8140
VELOCIDADE INCOMPATÍVEL,4924,435,5850
REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,3087,146,3682
AUSÊNCIA DE REAÇÃO DO CONDUTOR,2852,191,3151
INGESTÃO DE ÁLCOOL,2039,88,1933
OUTRAS,1945,138,1944
ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS,1944,122,2406
CONDUTOR DORMINDO,1844,192,2347
MANOBRA DE MUDANÇA DE FAIXA,1768,64,2077
DESOBEDIÊNCIA ÀS NORMAS DE TRÂNSITO PELO CONDUTOR,1587,128,2057
FALTA DE ATENÇÃO,1582,66,1649
CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,1503,37,1676
INGESTÃO DE ÁLCOOL PELO CONDUTOR,1430,50,1075
NÃO GUARDAR DISTÂNCIA DE SEGURANÇA,1320,22,1402
PISTA ESCORREGADIA,1204,55,1445
DEFEITO MECÂNICO NO VEÍCULO,1106,20,1018
DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,1011,21,738
AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU,923,49,1302
ANIMAIS NA PISTA,849,19,949
FALTA DE ATENÇÃO DO PEDESTRE,671,177,628
ULTRAPASSAGEM INDEVIDA,638,168,1071
CHUVA,585,40,780
TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS,541,21,605
TRANSITAR NA CONTRAMÃO,374,149,555
ENTRADA INOPINADA DO PEDESTRE,321,81,313
ACUMULO DE ÁGUA SOBRE O PAVIMENTO,318,23,474
DEFEITO MECÂNICO EM VEÍCULO,316,5,312
DORMINDO,286,16,266
OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL,275,11,282
PEDESTRE CRUZAVA A PISTA FORA DA FAIXA,271,60,271
MAL SÚBITO,247,29,259
CONVERSÃO PROIBIDA,245,29,371
DEFEITO NA VIA,232,25,254
PEDESTRE ANDAVA NA PISTA,226,85,163
CARGA EXCESSIVA E/OU MAL ACONDICIONADA,223,4,134
DESOBEDIÊNCIA À SINALIZAÇÃO,207,12,252
DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO,194,10,281
MAL SÚBITO DO CONDUTOR,184,13,231
ACESSO IRREGULAR,184,5,247
TRANSITAR NO ACOSTAMENTO,169,18,162
RESTRIÇÃO DE VISIBILIDADE,135,13,171
FREAR BRUSCAMENTE,130,3,169
RETORNO PROIBIDO,122,9,184
INGESTÃO DE ÁLCOOL E/OU SUBSTÂNCIAS PSICOATIVAS PELO PEDESTRE,119,9,105
FENÔMENOS DA NATUREZA,116,7,125
