ano_mes,ano,mes,mes_nome,acidentes,mortos_total,feridos_total
2016-01,2016,1,JAN,623,26,598
2016-02,2016,2,FEV,526,26,527
2016-03,2016,3,MAR,516,21,531
2016-04,2016,4,ABR,515,29,533
2016-05,2016,5,MAI,486,34,469
2016-06,2016,6,JUN,529,39,514
2016-07,2016,7,JUL,512,29,521
2016-08,2016,8,AGO,530,25,517
2016-09,2016,9,SET,489,28,489
2016-10,2016,10,OUT,526,40,553
2016-11,2016,11,NOV,516,15,530
2016-12,2016,12,DEZ,566,26,572
2017-01,2017,1,JAN,471,36,492
2017-02,2017,2,FEV,517,27,446
2017-03,2017,3,MAR,505,29,483
2017-04,2017,4,ABR,472,19,500
2017-05,2017,5,MAI,500,26,487
2017-06,2017,6,JUN,480,21,508
2017-07,2017,7,JUL,509,54,552
2017-08,2017,8,AGO,471,27,523
2017-09,2017,9,SET,467,33,475
2017-10,2017,10,OUT,457,36,474
2017-11,2017,11,NOV,451,35,445
2017-12,2017,12,DEZ,540,24,560
2018-01,2018,1,JAN,482,32,531
2018-02,2018,2,FEV,375,25,416
2018-03,2018,3,MAR,403,21,406
2018-04,2018,4,ABR,325,21,402
2018-05,2018,5,MAI,294,28,335
2018-06,2018,6,JUN,354,22,389
2018-07,2018,7,JUL,355,41,417
2018-08,2018,8,AGO,369,19,444
2018-09,2018,9,SET,366,26,455
2018-10,2018,10,OUT,353,14,438
2018-11,2018,11,NOV,358,27,473
2018-12,2018,12,DEZ,416,23,462
2019-01,2019,1,JAN,327,31,424
2019-02,2019,2,FEV,341,29,444
2019-03,2019,3,MAR,390,27,437
2019-04,2019,4,ABR,358,28,432
2019-05,2019,5,MAI,352,38,419
2019-06,2019,6,JUN,347,18,393
2019-07,2019,7,JUL,367,33,443
2019-08,2019,8,AGO,389,24,465
2019-09,2019,9,SET,424,15,486
2019-10,2019,10,OUT,437,28,483
2019-11,2019,11,NOV,414,34,512
2019-12,2019,12,DEZ,429,26,546
2020-01,2020,1,JAN,384,24,523
2020-02,2020,2,FEV,385,21,478
2020-03,2020,3,MAR,346,17,397
2020-04,2020,4,ABR,256,20,262
2020-05,2020,5,MAI,379,23,400
2020-06,2020,6,JUN,315,23,354
2020-07,2020,7,JUL,353,23,370
2020-08,2020,8,AGO,367,19,401
2020-09,2020,9,SET,388,24,475
2020-10,2020,10,OUT,436,36,501
2020-11,2020,11,NOV,370,19,432
2020-12,2020,12,DEZ,425,13,519
2021-01,2021,1,JAN,367,13,436
2021-02,2021,2,FEV,355,23,443
2021-03,2021,3,MAR,313,20,405
2021-04,2021,4,ABR,328,19,366
2021-05,2021,5,MAI,367,26,384
2021-06,2021,6,JUN,361,20,391
2021-07,2021,7,JUL,378,28,457
2021-08,2021,8,AGO,391,34,427
2021-09,2021,9,SET,396,33,487
2021-10,2021,10,OUT,387,36,517
2021-11,2021,11,NOV,333,31,376
2021-12,2021,12,DEZ,372,36,433
2022-01,2022,1,JAN,323,35,481
2022-02,2022,2,FEV,292,20,323
2022-03,2022,3,MAR,317,25,368
2022-04,2022,4,ABR,326,22,373
2022-05,2022,5,MAI,334,14,363
2022-06,2022,6,JUN,313,19,335
2022-07,2022,7,JUL,428,24,474
2022-08,2022,8,AGO,339,30,353
2022-09,2022,9,SET,368,24,432
2022-10,2022,10,OUT,390,26,450
2022-11,2022,11,NOV,317,18,355
2022-12,2022,12,DEZ,403,27,496
2023-01,2023,1,JAN,345,28,446
2023-02,2023,2,FEV,289,13,345
2023-03,2023,3,MAR,331,33,366
2023-04,2023,4,ABR,344,22,401
2023-05,2023,5,MAI,359,22,433
2023-06,2023,6,JUN,352,33,406
2023-07,2023,7,JUL,403,35,531
2023-08,2023,8,AGO,356,27,409
2023-09,2023,9,SET,373,37,427
2023-10,2023,10,OUT,383,23,512
2023-11,2023,11,NOV,367,24,401
2023-12,2023,12,DEZ,390,23,473
2024-01,2024,1,JAN,346,27,402
2024-02,2024,2,FEV,323,12,358
2024-03,2024,3,MAR,393,23,438
2024-04,2024,4,ABR,383,19,427
2024-05,2024,5,MAI,380,23,434
2024-06,2024,6,JUN,394,28,448
2024-07,2024,7,JUL,393,23,446
2024-08,2024,8,AGO,405,30,445
2024-09,2024,9,SET,371,26,399
2024-10,2024,10,OUT,396,21,446
2024-11,2024,11,NOV,327,20,364
2024-12,2024,12,DEZ,388,33,485
2025-01,2025,1,JAN,317,25,391
2025-02,2025,2,FEV,319,20,338
2025-03,2025,3,MAR,392,24,436
2025-04,2025,4,ABR,364,30,421
2025-05,2025,5,MAI,362,28,395
2025-06,2025,6,JUN,378,33,386
2025-07,2025,7,JUL,386,33,425
2025-08,2025,8,AGO,400,24,476
2025-09,2025,9,SET,381,27,480
2025-10,2025,10,OUT,395,24,497
2025-11,2025,11,NOV,390,20,460
2025-12,2025,12,DEZ,430,52,521
2026-01,2026,1,JAN,370,27,466
2026-02,2026,2,FEV,329,30,363
2026-03,2026,3,MAR,419,29,438
2026-04,2026,4,ABR,352,48,395
