uf,municipio,acidentes,mortos_total,feridos_total
DF,BRASILIA,9980,400,10645
MG,RIBEIRAO DAS NEVES,2261,82,2610
GO,VALPARAISO DE GOIAS,2225,37,2193
GO,LUZIANIA,2048,184,2188
MG,CONTAGEM,1973,83,2173
GO,ANAPOLIS,1848,58,1891
MG,NOVA LIMA,1642,86,1841
MG,SETE LAGOAS,1223,61,1436
GO,AGUAS LINDAS DE GOIAS,1214,62,1331
GO,RIO VERDE,1160,57,1082
GO,GOIANIA,1127,46,1114
MG,JUIZ DE FORA,1096,76,1410
MG,PARACATU,998,73,1219
MG,CONGONHAS,994,90,1267
MG,CONSELHEIRO LAFAIETE,934,69,1204
GO,FORMOSA,910,166,1237
GO,ALEXANIA,909,60,1040
MG,BARBACENA,866,51,952
GO,CRISTALINA,778,75,967
MG,SANTOS DUMONT,704,63,816
MG,JOAO PINHEIRO,676,84,846
MG,ITABIRITO,621,75,793
MG,ESMERALDAS,576,40,662
GO,GOIANAPOLIS,576,17,556
MG,TRES MARIAS,574,41,670
GO,ABADIANIA,551,43,577
MG,CARANDAI,526,57,668
MG,PARAOPEBA,479,50,510
MG,BELO HORIZONTE,435,10,480
MG,CAETANOPOLIS,434,28,479
GO,GUAPO,424,28,452
GO,ABADIA DE GOIAS,382,17,370
MG,CURVELO,362,48,522
GO,ACREUNA,334,22,376
GO,TEREZOPOLIS DE GOIAS,321,13,309
GO,SANTO ANTONIO DO DESCOBERTO,307,19,327
GO,PADRE BERNARDO,302,61,422
MG,FELIXLANDIA,301,50,435
GO,APARECIDA DE GOIANIA,284,4,252
GO,INDIARA,278,32,321
MG,CRISTIANO OTONI,269,27,389
MG,MATIAS BARBOSA,268,11,332
GO,ALVORADA DO NORTE,266,60,373
MG,OLIVEIRA FORTES,254,10,249
GO,JATAI,253,10,241
GO,COCALZINHO DE GOIAS,250,59,326
MG,SAO GONCALO DO ABAETE,239,21,284
MG,SIMAO PEREIRA,239,9,320
GO,POSSE,236,46,357
MG,OURO PRETO,230,16,248
GO,CEZARINA,213,13,237
GO,JUSSARA,189,35,197
GO,FLORES DE GOIAS,177,46,210
GO,SANTO ANTONIO DA BARRA,168,10,180
GO,VILA BOA,161,38,236
MG,RESSAQUINHA,160,16,189
MG,ALFREDO VASCONCELOS,158,24,230
GO,SIMOLANDIA,152,18,168
MG,EWBANK DA CAMARA,151,6,174
GO,ARAGARCAS,145,15,185
MG,LAGOA GRANDE,142,29,196
GO,BARRO ALTO,123,13,143
GO,JANDAIA,113,9,121
GO,MONTES CLAROS DE GOIAS,104,28,158
GO,VILA PROPICIO,93,10,115
GO,VARJAO,75,4,83
GO,ITAPIRAPUA,54,3,69
GO,GUARANI DE GOIAS,40,19,52
GO,URUACU,40,5,47
GO,ITABERAI,33,10,53
GO,SAO MIGUEL DO ARAGUAIA,31,15,38
GO,JARAGUA,28,5,41
GO,SANTA RITA DO NOVO DESTINO,28,1,43
MG,CAPIM BRANCO,28,0,28
GO,GOIAS,24,3,36
GO,SANTA FE DE GOIAS,16,2,25
MG,PEDRO LEOPOLDO,13,1,10
GO,ITAGUARI,12,3,14
MG,MATOZINHOS,9,0,16
GO,PIRENOPOLIS,8,2,10
GO,ALTO HORIZONTE,6,4,7
GO,TRINDADE,5,1,5
GO,AGUA FRIA DE GOIAS,3,0,5
GO,CIDADE OCIDENTAL,3,0,3
GO,PORANGATU,3,0,5
MG,CHIADOR,3,0,3
GO,MARA ROSA,2,1,1
MG,SANTA BARBARA,2,1,1
GO,BOM JARDIM DE GOIAS,2,0,2
GO,SAO DOMINGOS,2,0,1
MG,SAO DOMINGOS DO PRATA,2,0,4
GO,AMARALINA,1,1,0
GO,BONOPOLIS,1,1,0
GO,HIDROLANDIA,1,0,0
GO,PALMEIRAS DE GOIAS,1,0,1
GO,SANTO ANTONIO DE GOIAS,1,0,0
GO,SAO FRANCISCO DE GOIAS,1,0,1
GO,SAO MIGUEL DO PASSA QUATRO,1,0,1
MG,ALMENARA,1,0,2
MG,BARAO DE COCAIS,1,0,1
MG,BRUMADINHO,1,0,1
MG,CABECEIRA GRANDE,1,0,1
MG,CARANAIBA,1,0,2
MG,CORINTO,1,0,0
MG,ITAOBIM,1,0,0
MG,MOEDA,1,0,2
MG,POUSO ALEGRE,1,0,0
MG,RAPOSOS,1,0,2
MG,TEOFILO OTONI,1,0,1
